"大字町丁目コード","地域名"
"132040006005","東京都三鷹市下連雀五丁目"
"132040011001","東京都三鷹市井の頭一丁目"
"132040011002","東京都三鷹市井の頭二丁目"
"132040011003","東京都三鷹市井の頭三丁目"
"132040011004","東京都三鷹市井の頭四丁目"
"132040011005","東京都三鷹市井の頭五丁目"
"132060001004","東京都府中市本宿町四丁目"
"132060002001","東京都府中市西府町一丁目"
"132060002002","東京都府中市西府町二丁目"
"132060002003","東京都府中市西府町三丁目"
"132060002004","東京都府中市西府町四丁目"
"132060002005","東京都府中市西府町五丁目"
"132060008003","東京都府中市若松町三丁目"
"132060008004","東京都府中市若松町四丁目"
"132060008005","東京都府中市若松町五丁目"
"132060010001","東京都府中市小柳町一丁目"
"132060010006","東京都府中市小柳町六丁目"
"132060011001","東京都府中市白糸台一丁目"
"132060011002","東京都府中市白糸台二丁目"
"132060011003","東京都府中市白糸台三丁目"
"132060011004","東京都府中市白糸台四丁目"
"132060011005","東京都府中市白糸台五丁目"
"132060011006","東京都府中市白糸台六丁目"
"132060012001","東京都府中市朝日町一丁目"
"132060012002","東京都府中市朝日町二丁目"
"132060012003","東京都府中市朝日町三丁目"
"132060022002","東京都府中市押立町二丁目"
"132060022004","東京都府中市押立町四丁目"
"132060022005","東京都府中市押立町五丁目"
"132060026001","東京都府中市紅葉丘一丁目"
"132060026002","東京都府中市紅葉丘二丁目"
"132060026003","東京都府中市紅葉丘三丁目"
"132060034000","東京都府中市日鋼町"
"132060035001","東京都府中市西原町一丁目"
"132060035002","東京都府中市西原町二丁目"
"132060035003","東京都府中市西原町三丁目"
"132060035004","東京都府中市西原町四丁目"
"132060036000","東京都府中市東芝町"
"132060037001","東京都府中市北山町一丁目"
"132060037002","東京都府中市北山町二丁目"
"132060037003","東京都府中市北山町三丁目"
"132060037004","東京都府中市北山町四丁目"
"132060038001","東京都府中市武蔵台一丁目"
"132060038002","東京都府中市武蔵台二丁目"
"132080001000","東京都調布市国領町"
"132080002000","東京都調布市下布田町"
"132080003000","東京都調布市上布田町"
"132080004000","東京都調布市小島町"
"132080005000","東京都調布市下石原"
"132080007001","東京都調布市深大寺東町一丁目"
"132080007002","東京都調布市深大寺東町二丁目"
"132080007003","東京都調布市深大寺東町三丁目"
"132080007004","東京都調布市深大寺東町四丁目"
"132080007007","東京都調布市深大寺東町七丁目"
"132080008005","東京都調布市深大寺元町五丁目"
"132080009001","東京都調布市緑ケ丘一丁目"
"132080009002","東京都調布市緑ケ丘二丁目"
"132080010000","東京都調布市西町"
"132080011005","東京都調布市佐須町五丁目"
"132080012002","東京都調布市柴崎二丁目"
"132080013002","東京都調布市八雲台二丁目"
"132080014001","東京都調布市入間町一丁目"
"132080014002","東京都調布市入間町二丁目"
"132080014003","東京都調布市入間町三丁目"
"132080015003","東京都調布市染地三丁目"
"132080016002","東京都調布市国領町二丁目"
"132080016003","東京都調布市国領町三丁目"
"132080016007","東京都調布市国領町七丁目"
"132080016008","東京都調布市国領町八丁目"
"132080019001","東京都調布市若葉町一丁目"
"132080019002","東京都調布市若葉町二丁目"
"132080019003","東京都調布市若葉町三丁目"
"132080020001","東京都調布市東つつじケ丘一丁目"
"132080020002","東京都調布市東つつじケ丘二丁目"
"132080020003","東京都調布市東つつじケ丘三丁目"
"132080021001","東京都調布市仙川町一丁目"
"132080021002","東京都調布市仙川町二丁目"
"132080021003","東京都調布市仙川町三丁目"
"132080022001","東京都調布市菊野台一丁目"
"132080022002","東京都調布市菊野台二丁目"
"132080022003","東京都調布市菊野台三丁目"
"132080023001","東京都調布市西つつじケ丘一丁目"
"132080023002","東京都調布市西つつじケ丘二丁目"
"132080023003","東京都調布市西つつじケ丘三丁目"
"132080023004","東京都調布市西つつじケ丘四丁目"
"132080024002","東京都調布市深大寺南町二丁目"
"132080024003","東京都調布市深大寺南町三丁目"
"132080024004","東京都調布市深大寺南町四丁目"
"132080024005","東京都調布市深大寺南町五丁目"
"132080030001","東京都調布市飛田給一丁目"
"132080030002","東京都調布市飛田給二丁目"
"132080030003","東京都調布市飛田給三丁目"
"132080031002","東京都調布市深大寺北町二丁目"
"132100009001","東京都小金井市関野町一丁目"
"132100009002","東京都小金井市関野町二丁目"
"132110006000","東京都小平市御幸町"
"132110007001","東京都小平市花小金井南町一丁目"
"132150009001","東京都国立市富士見台一丁目"
"132190001001","東京都狛江市東和泉一丁目"
"132190001002","東京都狛江市東和泉二丁目"
"132190001003","東京都狛江市東和泉三丁目"
"132190001004","東京都狛江市東和泉四丁目"
"132190002001","東京都狛江市岩戸南一丁目"
"132190002002","東京都狛江市岩戸南二丁目"
"132190002003","東京都狛江市岩戸南三丁目"
"132190002004","東京都狛江市岩戸南四丁目"
"132190003001","東京都狛江市駒井町一丁目"
"132190003002","東京都狛江市駒井町二丁目"
"132190003003","東京都狛江市駒井町三丁目"
"132190004001","東京都狛江市猪方一丁目"
"132190004002","東京都狛江市猪方二丁目"
"132190004003","東京都狛江市猪方三丁目"
"132190004004","東京都狛江市猪方四丁目"
"132190005001","東京都狛江市岩戸北一丁目"
"132190005002","東京都狛江市岩戸北二丁目"
"132190005003","東京都狛江市岩戸北三丁目"
"132190005004","東京都狛江市岩戸北四丁目"
"132190006001","東京都狛江市和泉本町一丁目"
"132190006002","東京都狛江市和泉本町二丁目"
"132190006003","東京都狛江市和泉本町三丁目"
"132190006004","東京都狛江市和泉本町四丁目"
"132190007001","東京都狛江市中和泉一丁目"
"132190007002","東京都狛江市中和泉二丁目"
"132190007003","東京都狛江市中和泉三丁目"
"132190007004","東京都狛江市中和泉四丁目"
"132190007005","東京都狛江市中和泉五丁目"
"132190008001","東京都狛江市元和泉一丁目"
"132190008002","東京都狛江市元和泉二丁目"
"132190008003","東京都狛江市元和泉三丁目"
"132190009001","東京都狛江市東野川一丁目"
"132190009002","東京都狛江市東野川二丁目"
"132190009003","東京都狛江市東野川三丁目"
"132190009004","東京都狛江市東野川四丁目"
"132190010001","東京都狛江市西野川一丁目"
"132190010002","東京都狛江市西野川二丁目"
"132190010003","東京都狛江市西野川三丁目"
"132190010004","東京都狛江市西野川四丁目"
"132190011001","東京都狛江市西和泉一丁目"
"132190011002","東京都狛江市西和泉二丁目"
"132210004002","東京都清瀬市中清戸二丁目"
"132210004004","東京都清瀬市中清戸四丁目"
"132210007002","東京都清瀬市上清戸二丁目"
"132210008005","東京都清瀬市中里五丁目"
"132210009001","東京都清瀬市下清戸一丁目"
"132210009002","東京都清瀬市下清戸二丁目"
"132210009003","東京都清瀬市下清戸三丁目"
"132210009004","東京都清瀬市下清戸四丁目"
"132210009005","東京都清瀬市下清戸五丁目"
"132210011002","東京都清瀬市旭が丘二丁目"
"132210011005","東京都清瀬市旭が丘五丁目"
"132210011006","東京都清瀬市旭が丘六丁目"
"132220003005","東京都東久留米市中央町五丁目"
"132220004002","東京都東久留米市南沢二丁目"
"132220004004","東京都東久留米市南沢四丁目"
"132220005003","東京都東久留米市八幡町三丁目"
"132220006003","東京都東久留米市浅間町三丁目"
"132220009001","東京都東久留米市南町一丁目"
"132220009003","東京都東久留米市南町三丁目"
"132220009004","東京都東久留米市南町四丁目"
"132220010000","東京都東久留米市ひばりが丘団地"
"132220013001","東京都東久留米市上の原一丁目"
"132220013002","東京都東久留米市上の原二丁目"
"132220014001","東京都東久留米市神宝町一丁目"
"132220014002","東京都東久留米市神宝町二丁目"
"132220016001","東京都東久留米市本町一丁目"
"132220016003","東京都東久留米市本町三丁目"
"132220017001","東京都東久留米市氷川台一丁目"
"132220017002","東京都東久留米市氷川台二丁目"
"132220018001","東京都東久留米市新川町一丁目"
"132220018002","東京都東久留米市新川町二丁目"
"132220019001","東京都東久留米市小山一丁目"
"132220021001","東京都東久留米市金山町一丁目"
"132220021002","東京都東久留米市金山町二丁目"
"132220022000","東京都東久留米市東本町"
"132220023002","東京都東久留米市大門町二丁目"
"132250010001","東京都稲城市長峰一丁目"
"132290001001","東京都西東京市北町一丁目"
"132290001002","東京都西東京市北町二丁目"
"132290001003","東京都西東京市北町三丁目"
"132290001004","東京都西東京市北町四丁目"
"132290001005","東京都西東京市北町五丁目"
"132290001006","東京都西東京市北町六丁目"
"132290002001","東京都西東京市下保谷一丁目"
"132290002002","東京都西東京市下保谷二丁目"
"132290002003","東京都西東京市下保谷三丁目"
"132290002004","東京都西東京市下保谷四丁目"
"132290002005","東京都西東京市下保谷五丁目"
"132290003001","東京都西東京市栄町一丁目"
"132290003002","東京都西東京市栄町二丁目"
"132290003003","東京都西東京市栄町三丁目"
"132290004001","東京都西東京市ひばりが丘北一丁目"
"132290004002","東京都西東京市ひばりが丘北二丁目"
"132290004003","東京都西東京市ひばりが丘北三丁目"
"132290004004","東京都西東京市ひばりが丘北四丁目"
"132290005001","東京都西東京市新町一丁目"
"132290005002","東京都西東京市新町二丁目"
"132290006001","東京都西東京市東伏見一丁目"
"132290006002","東京都西東京市東伏見二丁目"
"132290006003","東京都西東京市東伏見三丁目"
"132290006004","東京都西東京市東伏見四丁目"
"132290006005","東京都西東京市東伏見五丁目"
"132290006006","東京都西東京市東伏見六丁目"
"132290007001","東京都西東京市柳沢一丁目"
"132290007002","東京都西東京市柳沢二丁目"
"132290007003","東京都西東京市柳沢三丁目"
"132290007004","東京都西東京市柳沢四丁目"
"132290007005","東京都西東京市柳沢五丁目"
"132290007006","東京都西東京市柳沢六丁目"
"132290008001","東京都西東京市向台町一丁目"
"132290008002","東京都西東京市向台町二丁目"
"132290008003","東京都西東京市向台町三丁目"
"132290009001","東京都西東京市南町一丁目"
"132290009002","東京都西東京市南町二丁目"
"132290009003","東京都西東京市南町三丁目"
"132290009005","東京都西東京市南町五丁目"
"132290009006","東京都西東京市南町六丁目"
"132290010001","東京都西東京市田無町一丁目"
"132290010002","東京都西東京市田無町二丁目"
"132290010003","東京都西東京市田無町三丁目"
"132290010004","東京都西東京市田無町四丁目"
"132290010005","東京都西東京市田無町五丁目"
"132290012001","東京都西東京市富士町一丁目"
"132290012002","東京都西東京市富士町二丁目"
"132290012003","東京都西東京市富士町三丁目"
"132290012004","東京都西東京市富士町四丁目"
"132290012005","東京都西東京市富士町五丁目"
"132290012006","東京都西東京市富士町六丁目"
"132290013001","東京都西東京市中町一丁目"
"132290013002","東京都西東京市中町二丁目"
"132290013003","東京都西東京市中町三丁目"
"132290013004","東京都西東京市中町四丁目"
"132290013005","東京都西東京市中町五丁目"
"132290013006","東京都西東京市中町六丁目"
"132290014001","東京都西東京市保谷町一丁目"
"132290014002","東京都西東京市保谷町二丁目"
"132290014003","東京都西東京市保谷町三丁目"
"132290014004","東京都西東京市保谷町四丁目"
"132290014005","東京都西東京市保谷町五丁目"
"132290014006","東京都西東京市保谷町六丁目"
"132290015001","東京都西東京市北原町一丁目"
"132290015002","東京都西東京市北原町二丁目"
"132290015003","東京都西東京市北原町三丁目"
"132290016001","東京都西東京市西原町一丁目"
"132290016002","東京都西東京市西原町二丁目"
"132290016003","東京都西東京市西原町三丁目"
"132290016004","東京都西東京市西原町四丁目"
"132290016005","東京都西東京市西原町五丁目"
"132290017001","東京都西東京市東町一丁目"
"132290017002","東京都西東京市東町二丁目"
"132290017003","東京都西東京市東町三丁目"
"132290017004","東京都西東京市東町四丁目"
"132290017005","東京都西東京市東町五丁目"
"132290017006","東京都西東京市東町六丁目"
"132290018001","東京都西東京市緑町一丁目"
"132290018003","東京都西東京市緑町三丁目"
"132290019001","東京都西東京市泉町一丁目"
"132290019002","東京都西東京市泉町二丁目"
"132290019003","東京都西東京市泉町三丁目"
"132290019004","東京都西東京市泉町四丁目"
"132290019005","東京都西東京市泉町五丁目"
"132290019006","東京都西東京市泉町六丁目"
"132290020001","東京都西東京市住吉町一丁目"
"132290020002","東京都西東京市住吉町二丁目"
"132290020003","東京都西東京市住吉町三丁目"
"132290020004","東京都西東京市住吉町四丁目"
"132290020005","東京都西東京市住吉町五丁目"
"132290020006","東京都西東京市住吉町六丁目"
"132290021001","東京都西東京市谷戸町一丁目"
"132290021002","東京都西東京市谷戸町二丁目"
"132290021003","東京都西東京市谷戸町三丁目"
"132290022001","東京都西東京市ひばりが丘一丁目"
"132290022002","東京都西東京市ひばりが丘二丁目"
"132290022003","東京都西東京市ひばりが丘三丁目"
"132290022004","東京都西東京市ひばりが丘四丁目"
"141010001001","神奈川県横浜市鶴見区本町通一丁目"
"141010001002","神奈川県横浜市鶴見区本町通二丁目"
"141010001003","神奈川県横浜市鶴見区本町通三丁目"
"141010001004","神奈川県横浜市鶴見区本町通四丁目"
"141010002001","神奈川県横浜市鶴見区潮田町一丁目"
"141010002002","神奈川県横浜市鶴見区潮田町二丁目"
"141010002003","神奈川県横浜市鶴見区潮田町三丁目"
"141010002004","神奈川県横浜市鶴見区潮田町四丁目"
"141010003000","神奈川県横浜市鶴見区寛政町"
"141010004000","神奈川県横浜市鶴見区東寺尾東台"
"141010005000","神奈川県横浜市鶴見区大東町"
"141010006001","神奈川県横浜市鶴見区東寺尾一丁目"
"141010006002","神奈川県横浜市鶴見区東寺尾二丁目"
"141010006003","神奈川県横浜市鶴見区東寺尾三丁目"
"141010006004","神奈川県横浜市鶴見区東寺尾四丁目"
"141010006005","神奈川県横浜市鶴見区東寺尾五丁目"
"141010006006","神奈川県横浜市鶴見区東寺尾六丁目"
"141010007001","神奈川県横浜市鶴見区岸谷一丁目"
"141010007002","神奈川県横浜市鶴見区岸谷二丁目"
"141010007003","神奈川県横浜市鶴見区岸谷三丁目"
"141010007004","神奈川県横浜市鶴見区岸谷四丁目"
"141010008001","神奈川県横浜市鶴見区朝日町一丁目"
"141010008002","神奈川県横浜市鶴見区朝日町二丁目"
"141010009001","神奈川県横浜市鶴見区鶴見中央一丁目"
"141010009002","神奈川県横浜市鶴見区鶴見中央二丁目"
"141010009003","神奈川県横浜市鶴見区鶴見中央三丁目"
"141010009004","神奈川県横浜市鶴見区鶴見中央四丁目"
"141010009005","神奈川県横浜市鶴見区鶴見中央五丁目"
"141010010001","神奈川県横浜市鶴見区鶴見一丁目"
"141010010002","神奈川県横浜市鶴見区鶴見二丁目"
"141010011001","神奈川県横浜市鶴見区馬場一丁目"
"141010011002","神奈川県横浜市鶴見区馬場二丁目"
"141010011003","神奈川県横浜市鶴見区馬場三丁目"
"141010011004","神奈川県横浜市鶴見区馬場四丁目"
"141010011005","神奈川県横浜市鶴見区馬場五丁目"
"141010011006","神奈川県横浜市鶴見区馬場六丁目"
"141010011007","神奈川県横浜市鶴見区馬場七丁目"
"141010012000","神奈川県横浜市鶴見区大黒ふ頭"
"141010013000","神奈川県横浜市鶴見区大黒町"
"141010014001","神奈川県横浜市鶴見区末広町一丁目"
"141010014002","神奈川県横浜市鶴見区末広町二丁目"
"141010015000","神奈川県横浜市鶴見区扇島"
"141010016001","神奈川県横浜市鶴見区安善町一丁目"
"141010016002","神奈川県横浜市鶴見区安善町二丁目"
"141010017001","神奈川県横浜市鶴見区浜町一丁目"
"141010017002","神奈川県横浜市鶴見区浜町二丁目"
"141010018001","神奈川県横浜市鶴見区仲通一丁目"
"141010018002","神奈川県横浜市鶴見区仲通二丁目"
"141010018003","神奈川県横浜市鶴見区仲通三丁目"
"141010019001","神奈川県横浜市鶴見区下野谷町一丁目"
"141010019002","神奈川県横浜市鶴見区下野谷町二丁目"
"141010019003","神奈川県横浜市鶴見区下野谷町三丁目"
"141010019004","神奈川県横浜市鶴見区下野谷町四丁目"
"141010020001","神奈川県横浜市鶴見区汐入町一丁目"
"141010020002","神奈川県横浜市鶴見区汐入町二丁目"
"141010020003","神奈川県横浜市鶴見区汐入町三丁目"
"141010021001","神奈川県横浜市鶴見区生麦一丁目"
"141010021002","神奈川県横浜市鶴見区生麦二丁目"
"141010021003","神奈川県横浜市鶴見区生麦三丁目"
"141010021004","神奈川県横浜市鶴見区生麦四丁目"
"141010021005","神奈川県横浜市鶴見区生麦五丁目"
"141010022000","神奈川県横浜市鶴見区小野町"
"141010023000","神奈川県横浜市鶴見区弁天町"
"141010024001","神奈川県横浜市鶴見区駒岡一丁目"
"141010024002","神奈川県横浜市鶴見区駒岡二丁目"
"141010024003","神奈川県横浜市鶴見区駒岡三丁目"
"141010024004","神奈川県横浜市鶴見区駒岡四丁目"
"141010024005","神奈川県横浜市鶴見区駒岡五丁目"
"141010025001","神奈川県横浜市鶴見区向井町一丁目"
"141010025002","神奈川県横浜市鶴見区向井町二丁目"
"141010025003","神奈川県横浜市鶴見区向井町三丁目"
"141010025004","神奈川県横浜市鶴見区向井町四丁目"
"141010026000","神奈川県横浜市鶴見区東寺尾中台"
"141010027001","神奈川県横浜市鶴見区栄町通一丁目"
"141010027002","神奈川県横浜市鶴見区栄町通二丁目"
"141010027003","神奈川県横浜市鶴見区栄町通三丁目"
"141010027004","神奈川県横浜市鶴見区栄町通四丁目"
"141010028001","神奈川県横浜市鶴見区平安町一丁目"
"141010028002","神奈川県横浜市鶴見区平安町二丁目"
"141010029000","神奈川県横浜市鶴見区市場富士見町"
"141010030000","神奈川県横浜市鶴見区菅沢町"
"141010031000","神奈川県横浜市鶴見区市場東中町"
"141010032000","神奈川県横浜市鶴見区市場大和町"
"141010033001","神奈川県横浜市鶴見区下末吉一丁目"
"141010033002","神奈川県横浜市鶴見区下末吉二丁目"
"141010033003","神奈川県横浜市鶴見区下末吉三丁目"
"141010033004","神奈川県横浜市鶴見区下末吉四丁目"
"141010033005","神奈川県横浜市鶴見区下末吉五丁目"
"141010033006","神奈川県横浜市鶴見区下末吉六丁目"
"141010034001","神奈川県横浜市鶴見区尻手一丁目"
"141010034002","神奈川県横浜市鶴見区尻手二丁目"
"141010034003","神奈川県横浜市鶴見区尻手三丁目"
"141010035000","神奈川県横浜市鶴見区市場上町"
"141010036000","神奈川県横浜市鶴見区市場下町"
"141010037000","神奈川県横浜市鶴見区市場西中町"
"141010038001","神奈川県横浜市鶴見区元宮一丁目"
"141010038002","神奈川県横浜市鶴見区元宮二丁目"
"141010039001","神奈川県横浜市鶴見区上末吉一丁目"
"141010039002","神奈川県横浜市鶴見区上末吉二丁目"
"141010039003","神奈川県横浜市鶴見区上末吉三丁目"
"141010039004","神奈川県横浜市鶴見区上末吉四丁目"
"141010039005","神奈川県横浜市鶴見区上末吉五丁目"
"141010040001","神奈川県横浜市鶴見区寺谷一丁目"
"141010040002","神奈川県横浜市鶴見区寺谷二丁目"
"141010041000","神奈川県横浜市鶴見区豊岡町"
"141010042000","神奈川県横浜市鶴見区諏訪坂"
"141010043000","神奈川県横浜市鶴見区東寺尾北台"
"141010044000","神奈川県横浜市鶴見区佃野町"
"141010045001","神奈川県横浜市鶴見区北寺尾一丁目"
"141010045002","神奈川県横浜市鶴見区北寺尾二丁目"
"141010045003","神奈川県横浜市鶴見区北寺尾三丁目"
"141010045004","神奈川県横浜市鶴見区北寺尾四丁目"
"141010045005","神奈川県横浜市鶴見区北寺尾五丁目"
"141010045006","神奈川県横浜市鶴見区北寺尾六丁目"
"141010045007","神奈川県横浜市鶴見区北寺尾七丁目"
"141010046000","神奈川県横浜市鶴見区三ツ池公園"
"141010047001","神奈川県横浜市鶴見区獅子ケ谷一丁目"
"141010047002","神奈川県横浜市鶴見区獅子ケ谷二丁目"
"141010047003","神奈川県横浜市鶴見区獅子ケ谷三丁目"
"141010048001","神奈川県横浜市鶴見区上の宮一丁目"
"141010048002","神奈川県横浜市鶴見区上の宮二丁目"
"141010049001","神奈川県横浜市鶴見区矢向一丁目"
"141010049002","神奈川県横浜市鶴見区矢向二丁目"
"141010049003","神奈川県横浜市鶴見区矢向三丁目"
"141010049004","神奈川県横浜市鶴見区矢向四丁目"
"141010049005","神奈川県横浜市鶴見区矢向五丁目"
"141010049006","神奈川県横浜市鶴見区矢向六丁目"
"141010050001","神奈川県横浜市鶴見区梶山一丁目"
"141010050002","神奈川県横浜市鶴見区梶山二丁目"
"141010051000","神奈川県横浜市鶴見区江ケ崎町"
"141020001001","神奈川県横浜市神奈川区鶴屋町一丁目"
"141020001002","神奈川県横浜市神奈川区鶴屋町二丁目"
"141020001003","神奈川県横浜市神奈川区鶴屋町三丁目"
"141020002001","神奈川県横浜市神奈川区松本町一丁目"
"141020002002","神奈川県横浜市神奈川区松本町二丁目"
"141020002003","神奈川県横浜市神奈川区松本町三丁目"
"141020002004","神奈川県横浜市神奈川区松本町四丁目"
"141020002005","神奈川県横浜市神奈川区松本町五丁目"
"141020002006","神奈川県横浜市神奈川区松本町六丁目"
"141020003000","神奈川県横浜市神奈川区斎藤分町"
"141020004000","神奈川県横浜市神奈川区台町"
"141020005001","神奈川県横浜市神奈川区上反町一丁目"
"141020005002","神奈川県横浜市神奈川区上反町二丁目"
"141020006001","神奈川県横浜市神奈川区六角橋一丁目"
"141020006002","神奈川県横浜市神奈川区六角橋二丁目"
"141020006003","神奈川県横浜市神奈川区六角橋三丁目"
"141020006004","神奈川県横浜市神奈川区六角橋四丁目"
"141020006005","神奈川県横浜市神奈川区六角橋五丁目"
"141020006006","神奈川県横浜市神奈川区六角橋六丁目"
"141020007000","神奈川県横浜市神奈川区泉町"
"141020008000","神奈川県横浜市神奈川区栗田谷"
"141020009000","神奈川県横浜市神奈川区中丸"
"141020010000","神奈川県横浜市神奈川区高島台"
"141020011001","神奈川県横浜市神奈川区松見町一丁目"
"141020011002","神奈川県横浜市神奈川区松見町二丁目"
"141020011003","神奈川県横浜市神奈川区松見町三丁目"
"141020011004","神奈川県横浜市神奈川区松見町四丁目"
"141020012001","神奈川県横浜市神奈川区西寺尾一丁目"
"141020012002","神奈川県横浜市神奈川区西寺尾二丁目"
"141020012003","神奈川県横浜市神奈川区西寺尾三丁目"
"141020012004","神奈川県横浜市神奈川区西寺尾四丁目"
"141020013000","神奈川県横浜市神奈川区菅田町"
"141020014000","神奈川県横浜市神奈川区宝町"
"141020015000","神奈川県横浜市神奈川区恵比須町"
"141020016001","神奈川県横浜市神奈川区千若町一丁目"
"141020016002","神奈川県横浜市神奈川区千若町二丁目"
"141020016003","神奈川県横浜市神奈川区千若町三丁目"
"141020017000","神奈川県横浜市神奈川区鈴繁町"
"141020018000","神奈川県横浜市神奈川区瑞穂町"
"141020019001","神奈川県横浜市神奈川区橋本町一丁目"
"141020019002","神奈川県横浜市神奈川区橋本町二丁目"
"141020020001","神奈川県横浜市神奈川区新浦島町一丁目"
"141020020002","神奈川県横浜市神奈川区新浦島町二丁目"
"141020021000","神奈川県横浜市神奈川区出田町"
"141020022001","神奈川県横浜市神奈川区守屋町一丁目"
"141020022002","神奈川県横浜市神奈川区守屋町二丁目"
"141020022003","神奈川県横浜市神奈川区守屋町三丁目"
"141020022004","神奈川県横浜市神奈川区守屋町四丁目"
"141020023000","神奈川県横浜市神奈川区星野町"
"141020024001","神奈川県横浜市神奈川区西神奈川一丁目"
"141020024002","神奈川県横浜市神奈川区西神奈川二丁目"
"141020024003","神奈川県横浜市神奈川区西神奈川三丁目"
"141020025000","神奈川県横浜市神奈川区大野町"
"141020026000","神奈川県横浜市神奈川区青木町"
"141020027001","神奈川県横浜市神奈川区反町一丁目"
"141020027002","神奈川県横浜市神奈川区反町二丁目"
"141020027003","神奈川県横浜市神奈川区反町三丁目"
"141020027004","神奈川県横浜市神奈川区反町四丁目"
"141020028000","神奈川県横浜市神奈川区桐畑"
"141020029000","神奈川県横浜市神奈川区金港町"
"141020030000","神奈川県横浜市神奈川区栄町"
"141020031000","神奈川県横浜市神奈川区山内町"
"141020032000","神奈川県横浜市神奈川区浦島町"
"141020033001","神奈川県横浜市神奈川区神奈川一丁目"
"141020033002","神奈川県横浜市神奈川区神奈川二丁目"
"141020034000","神奈川県横浜市神奈川区新町"
"141020035001","神奈川県横浜市神奈川区東神奈川一丁目"
"141020035002","神奈川県横浜市神奈川区東神奈川二丁目"
"141020036000","神奈川県横浜市神奈川区二ツ谷町"
"141020037000","神奈川県横浜市神奈川区神奈川本町"
"141020038000","神奈川県横浜市神奈川区幸ケ谷"
"141020039000","神奈川県横浜市神奈川区富家町"
"141020040000","神奈川県横浜市神奈川区広台太田町"
"141020041000","神奈川県横浜市神奈川区立町"
"141020042000","神奈川県横浜市神奈川区平川町"
"141020043000","神奈川県横浜市神奈川区二本榎"
"141020044000","神奈川県横浜市神奈川区旭ケ丘"
"141020045001","神奈川県横浜市神奈川区子安通一丁目"
"141020045002","神奈川県横浜市神奈川区子安通二丁目"
"141020045003","神奈川県横浜市神奈川区子安通三丁目"
"141020046001","神奈川県横浜市神奈川区入江一丁目"
"141020046002","神奈川県横浜市神奈川区入江二丁目"
"141020047001","神奈川県横浜市神奈川区新子安一丁目"
"141020047002","神奈川県横浜市神奈川区新子安二丁目"
"141020048001","神奈川県横浜市神奈川区子安台一丁目"
"141020048002","神奈川県横浜市神奈川区子安台二丁目"
"141020049000","神奈川県横浜市神奈川区神之木台"
"141020050000","神奈川県横浜市神奈川区白幡西町"
"141020051000","神奈川県横浜市神奈川区白幡東町"
"141020052000","神奈川県横浜市神奈川区白幡上町"
"141020053000","神奈川県横浜市神奈川区七島町"
"141020054000","神奈川県横浜市神奈川区大口仲町"
"141020055000","神奈川県横浜市神奈川区白楽"
"141020056000","神奈川県横浜市神奈川区鳥越"
"141020057000","神奈川県横浜市神奈川区浦島丘"
"141020058000","神奈川県横浜市神奈川区亀住町"
"141020059000","神奈川県横浜市神奈川区西大口"
"141020060000","神奈川県横浜市神奈川区白幡町"
"141020061000","神奈川県横浜市神奈川区白幡向町"
"141020062000","神奈川県横浜市神奈川区大口通"
"141020063000","神奈川県横浜市神奈川区神之木町"
"141020064000","神奈川県横浜市神奈川区白幡南町"
"141020065000","神奈川県横浜市神奈川区白幡仲町"
"141020066001","神奈川県横浜市神奈川区羽沢南一丁目"
"141020066002","神奈川県横浜市神奈川区羽沢南二丁目"
"141020066003","神奈川県横浜市神奈川区羽沢南三丁目"
"141020066004","神奈川県横浜市神奈川区羽沢南四丁目"
"141020067000","神奈川県横浜市神奈川区松ケ丘"
"141020068000","神奈川県横浜市神奈川区沢渡"
"141020069000","神奈川県横浜市神奈川区三ツ沢下町"
"141020070000","神奈川県横浜市神奈川区三ツ沢西町"
"141020071000","神奈川県横浜市神奈川区三ツ沢南町"
"141020072000","神奈川県横浜市神奈川区三ツ沢東町"
"141020073000","神奈川県横浜市神奈川区三ツ沢上町"
"141020074001","神奈川県横浜市神奈川区片倉一丁目"
"141020074002","神奈川県横浜市神奈川区片倉二丁目"
"141020074003","神奈川県横浜市神奈川区片倉三丁目"
"141020074004","神奈川県横浜市神奈川区片倉四丁目"
"141020074005","神奈川県横浜市神奈川区片倉五丁目"
"141020075000","神奈川県横浜市神奈川区三ツ沢中町"
"141020076001","神奈川県横浜市神奈川区神大寺一丁目"
"141020076002","神奈川県横浜市神奈川区神大寺二丁目"
"141020076003","神奈川県横浜市神奈川区神大寺三丁目"
"141020076004","神奈川県横浜市神奈川区神大寺四丁目"
"141020077000","神奈川県横浜市神奈川区三枚町"
"141020078000","神奈川県横浜市神奈川区羽沢町"
"141030001001","神奈川県横浜市西区北幸一丁目"
"141030001002","神奈川県横浜市西区北幸二丁目"
"141030002001","神奈川県横浜市西区伊勢町一丁目"
"141030002002","神奈川県横浜市西区伊勢町二丁目"
"141030002003","神奈川県横浜市西区伊勢町三丁目"
"141030003000","神奈川県横浜市西区東ケ丘"
"141030004001","神奈川県横浜市西区西戸部町一丁目"
"141030004002","神奈川県横浜市西区西戸部町二丁目"
"141030004003","神奈川県横浜市西区西戸部町三丁目"
"141030005000","神奈川県横浜市西区御所山町"
"141030006002","神奈川県横浜市西区赤門町二丁目"
"141030007000","神奈川県横浜市西区老松町"
"141030008000","神奈川県横浜市西区戸部本町"
"141030009004","神奈川県横浜市西区桜木町四丁目"
"141030009005","神奈川県横浜市西区桜木町五丁目"
